trialNum,  rise1, rise2, ampl1, ampl2, resp, correct, standard, stepsize_Perc, reversal,  rise_diff_perc, type1,104,30,0.5,0.5,1,1,2,0.25,0,2.4781,2
2,104,30,0.5,0.5,2,0,2,0.25,1,2.4781,2
3,122,30,0.5,0.5,1,1,2,0.25,1,3.0976,2
4,30,122,0.5,0.5,2,1,1,0.125,0,3.0976,2
5,30,111,0.5,0.5,2,1,1,0.125,0,2.7104,2
6,111,30,0.5,0.5,1,1,2,0.125,0,2.7104,2
7,101,30,0.5,0.5,2,0,2,0.125,1,2.3716,2
8,110,30,0.5,0.5,1,1,2,0.125,1,2.668,2
9,110,30,0.5,0.5,1,1,2,0.0625,0,2.668,2
10,105,30,0.5,0.5,1,1,2,0.0625,0,2.5013,2
11,30,105,0.5,0.5,2,1,1,0.0625,0,2.5013,2
12,100,30,0.5,0.5,1,1,2,0.0625,0,2.345,2
13,30,100,0.5,0.5,2,1,1,0.0625,0,2.345,2
14,95,30,0.5,0.5,1,1,2,0.0625,0,2.1984,2
15,95,30,0.5,0.5,1,1,2,0.0625,0,2.1984,2
16,30,91,0.5,0.5,2,1,1,0.0625,0,2.061,2
17,30,91,0.5,0.5,2,1,1,0.0625,0,2.061,2
18,30,87,0.5,0.5,2,1,1,0.0625,0,1.9322,2
19,30,87,0.5,0.5,1,0,1,0.0625,1,1.9322,2
20,91,30,0.5,0.5,1,1,2,0.0625,1,2.0529,2
21,30,91,0.5,0.5,2,1,1,0.03125,0,2.0529,2
22,89,30,0.5,0.5,1,1,2,0.03125,0,1.9888,2
23,30,89,0.5,0.5,2,1,1,0.03125,0,1.9888,2
24,87,30,0.5,0.5,1,1,2,0.03125,0,1.9266,2
25,30,87,0.5,0.5,2,1,1,0.03125,0,1.9266,2
26,30,85,0.5,0.5,2,1,1,0.03125,0,1.8664,2
27,30,85,0.5,0.5,2,1,1,0.03125,0,1.8664,2
28,84,30,0.5,0.5,1,1,2,0.03125,0,1.8081,2
29,30,84,0.5,0.5,1,0,1,0.03125,1,1.8081,2
30,30,85,0.5,0.5,2,1,1,0.03125,1,1.8646,2
31,30,85,0.5,0.5,2,1,1,0.015625,0,1.8646,2
32,85,30,0.5,0.5,1,1,2,0.015625,0,1.8355,2
33,85,30,0.5,0.5,2,0,2,0.015625,1,1.8355,2
